term	ttf	df
sin 	322354094	8232318
note 	322142557	11076884
72 	321895996	14471993
march 	321659033	8288756
ふ 	321471450	630731
union 	321307882	8886548
various 	321247533	9132897
もの 	320606264	524665
相 	320544626	1171871
material 	320529430	10489768
either 	320436332	9021306
matter 	319856903	8605369
class 	317815395	8293320
88 	317644432	14130478
process 	317540350	8474910
田 	317197413	1155584
後 	316699755	917882
mm 	316416970	7503330
99 	316231825	13948799
plan 	315671077	11017861
内 	315462117	1074863
dieser 	315273197	2056683
half 	314851301	9609554
ete 	314209950	3266980
天 	313920258	1163772
63 	313439408	14604301
river 	313140755	6842011
shown 	312471369	8496622
95 	312072367	14106144
evidence 	311807071	8256958
面 	311737674	1172516
71 	311522730	14405348
cannot 	310742334	8501089
fait 	310299341	3109300
available 	309413308	7996775
increase 	309278507	8091582
put 	309247044	9670779
91 	309075609	13846680
head 	308611182	8353171
69 	308525070	14395595
feet 	308465161	6531909
level 	307975325	8202412
get 	307640827	8522476
early 	307372265	8973165
77 	307037080	14501501
平 	306931107	1182165
н 	306691187	1260924
من 	306680785	361494
dos 	306127510	4636476
main 	305800008	10830532
ont 	305107157	3887703
surface 	304972898	7428198
mrs 	304905508	5274501
method 	304887137	8194025
68 	303128807	14438649
見 	302830000	883354
制 	302256248	1143118
family 	302202322	7770487
いて 	302184673	528996
although 	302154416	8512170
意 	301839904	1163933
u.s 	301813881	4926189
sir 	301706686	7286277
此 	301685298	909682
р 	301659092	1291593
san 	301654025	8943375
church 	301564526	5771264
central 	301053413	9983017
received 	300071929	8424568
price 	299776745	7620683
det 	299430476	3057162
real 	299079357	10231542
provided 	298666241	8441648
水 	298643135	1170807
done 	298163165	9178784
74 	298142405	14353927
tax 	297540124	5147355
och 	297141761	1569390
based 	296611992	8242071
result 	296577874	8777617
foreign 	296472818	7408487
73 	296269627	14408676
テ 	296049752	606073
college 	295981204	8244670
allfields:uc1 	295763796	5688429
allfieldsProper:uc1 	295763796	5688429
84 	295507162	14053734
often 	295433328	8575757
ar 	295373575	10435135
間 	294565592	867138
third 	294553375	9160744
page 	293859569	9628453
92 	293827977	13905925
etre 	293677146	2458785
67 	293399294	14431383
haben 	293241184	2237307
タ 	293034241	641322
english 	292507944	7509520
including 	292241362	8614065
vom 	292191999	3000135
human 	291507368	8002390
let 	291142300	9320062
ser 	290958199	8671253
82 	290652006	14144286
care 	290637427	8847606
analysis 	290630119	7371837
され 	290423407	522926
association 	290299765	8204388
east 	290252237	8066230
rather 	290112217	8676385
ge 	290020934	7912274
ver 	289792151	8484799
show 	289762212	9024933
ه 	289346906	399424
body 	289265239	8236590
世 	289168748	1163352
james 	288353571	7830570
young 	288116201	8274176
pre 	288012019	11909957
tres 	287881232	4710731
himself 	287874185	6645574
لا 	287810387	365632
期 	287613580	1156527
76 	287592148	14200110
ab 	287508166	8707853
account 	287397776	8644991
111 	287392375	12675621
のて 	286855448	509022
capital 	286564972	8030052
average 	286365802	7172616
目 	286225786	1177151
least 	285957206	8965623
alle 	285931825	4865524
言 	285924036	1175343
products 	285651348	6245945
78 	285270314	14145095
need 	285157656	8745026
п 	285056168	1339456
economic 	284463194	6105714
percent 	284218060	4520560
making 	284079614	9038413
89 	284035929	13992586
came 	283984346	7882242
som 	283060952	3625393
view 	282636472	8884626
oil 	282203720	7090969
six 	282070317	10147194
using 	281543240	8160885
加 	281527907	1172677
表 	281432157	1158221
god 	281430092	5669087
gas 	281343414	7021366
共 	281157252	1157406
ろ 	280918905	570323
86 	280761831	14016932
然 	280541693	1149565
ja 	280231248	7008208
paid 	280223427	7306402
83 	280221791	14156289
policy 	279748275	6300700
sans 	279228892	3566727
near 	279168982	8574479
better 	279027521	8745760
知 	279022111	1164019
國 	278952952	825418
到 	278928202	1102401
79 	278623324	14217609
va 	278595320	9261646
money 	278267752	7071559
este 	277753583	2626150
po 	277672835	9078201
mar 	277330684	9841758
イ 	277265281	628542
series 	277043401	9652320
met 	276004367	10061399
secretary 	275952267	5819734
dont 	275469516	2727806
96 	275376866	13727949
重 	274812770	1184989
able 	274572388	8980432
書 	273112189	896487
always 	273049521	8440382
current 	273032290	8098798
support 	272928557	8563713
energy 	272039887	6397475
next 	271973892	8723647
term 	271888962	8367004
studies 	271741075	7995897
kann 	270632083	2242677
death 	270309611	7053166
这 	270145535	482055
later 	270040117	8885380
building 	269757172	7852973
short 	269748462	9160418
industry 	269521602	6525011
systems 	269190333	7282120
once 	269097801	9393394
nor 	268938868	10955329
于 	268518901	820987
93 	268089724	13916245
ever 	267964250	8383932
就 	267664575	1106157
от 	267589864	1051909
nr 	266702742	4665236
pay 	265592952	7585956
とし 	265493410	527572
council 	265460040	6483875
для 	265420875	651130
ラ 	265385250	603967
science 	265300598	8658291
purpose 	265281669	8643420
washington 	264210098	7747496
西 	264121971	1157884
charles 	263810452	8188520
seen 	263272384	8779373
dei 	263268999	3911326
car 	263123760	9566920
major 	263080978	9178814
road 	263043471	7262177
construction 	262987041	8038743
journal 	262663519	7916426
fr 	262618671	6714577
治 	262429292	1137121
思 	262386448	1133555
87 	262331421	13971402
member 	262229896	7353482
allfieldsProper:hvd 	262136427	2037641
allfields:hvd 	262136427	2037641
stock 	262087593	7683416
obtained 	262006522	7845542
体 	261722396	967296
jan 	261584753	7068952
都 	261238483	1161747
natural 	260781214	9842302
thomas 	260556127	8518905
similar 	260449997	9032247
plant 	260251217	6705540
いう 	259988973	461449
problem 	259618879	8575588
sec 	259236335	7665981
example 	259076167	8240818
division 	259046823	9311363
title 	259001864	6944323
ш 	259000632	1251826
areas 	258615997	7001443
income 	258546280	5087476
continued 	258472891	8173551
hier 	258442395	3383993
98 	258266396	13648330
af 	258263887	6538783
lower 	258175514	8476714
peut 	257975035	2425891
94 	257803229	13750358
persons 	257474801	7136526
george 	257313232	7910413
ο 	257199639	269594
於 	256805726	786977
become 	256738555	8714675
read 	256686224	7815471
カ 	256209872	631123
party 	256204979	6168738
ci 	255803755	7955234
words 	255580925	7801557
era 	254934111	7087208
annual 	254833860	7320718
test 	254657786	8120071
america 	254338804	8467760
works 	254306811	8133579
application 	254064732	8067400
thought 	253459358	7774688
ニ 	252990175	640544
om 	252931145	5196867
england 	252872899	7718276
原 	252616861	1153393
sea 	252491833	8311754
ア 	252406650	606948
利 	252174170	1163245
labor 	252051513	6241733
base 	252001332	10063344
terms 	251988341	8360644
ch 	251752512	7576260
lord 	251681124	6036106
market 	251575204	6567232
whose 	251325808	8500676
500 	251129752	10550300
tions 	251015881	9587051
volume 	250610124	9346919
open 	250409243	8935823
king 	250408174	7195009
个 	250321667	642294
grand 	250108423	8269299
次 	249943486	1175988
百 	249283758	1157986
北 	248923850	1163292
元 	248576320	1163640
mo 	248361032	10503100
temperature 	247723745	4676215
parts 	247625513	9359114
een 	247133649	1941865
chapter 	247087369	6529670
management 	246781899	6275443
provide 	246758820	7977404
при 	246228756	723246
almost 	246151159	8411812
true 	245746075	8604724
то 	245731544	1074516
ع 	245467515	352562
political 	244711471	6103452
今 	244673068	1175598
数 	244224844	1030079
手 	244133294	1166148
women 	244055957	6321457
又 	243714636	1113955
british 	243671609	6733437
この 	243635304	510707
treatment 	243386302	7085215
growth 	243304232	7278517
single 	242733401	8746634
dec 	242674253	5652896
2d 	242603296	3671291
robert 	242398976	8301453
97 	242390236	13719048
各 	242338545	1154551
higher 	242276438	8432748
ac 	242249478	9947395
basis 	242097951	9019162
population 	241785753	7286414
当 	241628935	777121
august 	241509649	8725697
li 	241434621	10149328
ut 	240923059	6238538
tu 	240896643	7482367
seine 	240632302	3776301
ground 	240289295	8052967
nel 	240072617	3869482
han 	240048147	5854878
mass 	239949418	8810654
dis 	239669729	11138697
東 	239598435	882018
things 	239414397	7285395
है 	238999304	91338
problems 	238983968	7683745
kind 	238677507	9323515
changes 	238622426	8728514
black 	238593296	7886004
press 	238538275	8964569
operation 	238516461	8505930
according 	237964226	8668444
december 	237931365	7437206
along 	237421926	8453167
food 	237241133	7090390
acid 	237202241	3490258
medical 	236979778	5849665
品 	236251201	1130695
months 	236217419	7701347
из 	236102760	970797
structure 	236035956	8011881
greater 	235967619	8685747
無 	235716523	888370
miles 	235449549	7055448
except 	235342888	8657527
由 	235116629	1141859
particular 	235056872	9503163
charge 	234990253	8666169
region 	234507168	8434837
january 	234225975	7118189
red 	234204204	9127233
size 	234106142	7976444
private 	233872439	8343989
september 	233479380	8241916
post 	233374189	10053990
till 	233372613	5809063
allfields:umn 	233276155	1682793
allfieldsProper:umn 	233276153	1682791
individual 	232823620	8998938
300 	232803756	11615385
together 	232780770	8890919
使 	232596214	1154227
welche 	232241673	1978856
南 	231890564	1145286
ると 	230250427	511136
